,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_borough,dropoff_borough,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
467496,CB8CA23FBB11D330E5018763A71E1520,E384BEE2A094B7EB3D5691F809703902,CMT,1,N,2013-01-01 21:06:06,2013-01-01 21:14:42,2,515,2.0,0.0,0.0,0.0,0.0,outside_nyc,outside_nyc,CRD,9.0,0.5,0.5,1.5,0.0,11.5
467644,69D53D285F0A4E942E4AAE7A4DB7393A,87B5A4AC23359A4AD314F64EC67DD449,CMT,1,N,2013-01-01 06:30:59,2013-01-01 06:37:08,2,369,1.4,-73.980965,40.733681,-73.984978,40.747646,manhattan,manhattan,CRD,7.0,0.0,0.5,1.5,0.0,9.0
467681,E1D9CC4DBCBB07780CDCB57CDBB44718,08FB3C195965E9202617D276320DBA79,CMT,1,N,2013-01-01 13:46:54,2013-01-01 14:01:09,1,854,4.4,-73.989952,40.729668,-73.987648,40.671814,manhattan,brooklyn,CRD,16.0,0.0,0.5,2.0,0.0,18.5
468064,54736935A52C46DD4D6FFFB8B5E8AD0E,34B3D0554BFC5979155D13FB8A6C8132,CMT,1,N,2013-01-01 15:49:00,2013-01-01 15:55:52,1,412,2.4,0.0,0.0,0.0,0.0,outside_nyc,outside_nyc,CRD,8.5,0.0,0.5,1.0,0.0,10.0
468647,0DBC6F21D96F025C951B3E28738BF316,89F36959BBD2CCC56CF6943DA14BF0B3,CMT,1,N,2013-01-01 10:22:54,2013-01-01 10:30:01,2,427,1.6,-73.985519,40.735706,-73.995689,40.750641,manhattan,manhattan,CRD,8.0,0.0,0.5,2.12,0.0,10.62
468685,F6CBA8F054A17F0D2C6F1F15B4CC75AB,E827C56020E0992B2B8599DE5CEEE61E,CMT,1,Y,2013-01-01 08:39:51,2013-01-01 08:49:10,1,559,3.0,-73.952652,40.792355,-73.973137,40.756351,manhattan,manhattan,CRD,11.0,0.0,0.5,1.5,0.0,13.0
468704,D6FDD900F5504C7FD5C0B999966E0F07,3A31F65C8A078C3AE17CF7E75C023CDB,CMT,1,N,2013-01-01 02:50:06,2013-01-01 03:06:55,1,1008,5.0,-73.948639,40.724434,-73.986877,40.677395,manhattan,brooklyn,CRD,18.0,0.5,0.5,4.75,0.0,23.75
468869,87A05F98BA072C24F7CF87755EF494EA,1F3D0420AF64D737976DA9BA1FAD8797,CMT,1,N,2013-01-01 20:54:58,2013-01-01 20:59:59,1,300,1.6,-73.988281,40.723442,-73.973473,40.743958,manhattan,manhattan,CRD,6.5,0.5,0.5,1.0,0.0,8.5
468888,26B6CDD419985C6F551F0FAE87EF3AA9,36D04EDD8B7EF39AAFAD8CDE42F56153,CMT,1,N,2013-01-01 06:43:31,2013-01-01 06:49:23,1,351,1.4,-73.981537,40.732906,-73.98616,40.74614,manhattan,manhattan,CRD,6.5,0.0,0.5,1.4,0.0,8.4
469125,B1CF36E740BA0A7DBA1199FF693F6A25,9986B66D43EB23234F6549EA42CE14B0,CMT,1,N,2013-01-01 15:09:55,2013-01-01 15:25:56,1,961,3.3,-73.987366,40.729004,-73.994019,40.759918,manhattan,manhattan,CRD,14.0,0.0,0.5,1.5,0.0,16.0
